"4He/84Kr" "4He/130Xe" "4He/20Ne" "4He/36Ar" "R/Ra" "4He" "20Ne" "36Ar" "84Kr" "130Xe"
0.334064931539898 0.344229027810063 0.333722801819338 NA 0.34435663975262 0.339124281849444 0.418509620320746 NA 0.33333333343943 0.395913808680311
0.334133753174724 0.342442992538329 0.334116630962508 NA 0.348078795166924 0.338248575602844 0.369124622682191 NA 0.333333333415566 0.396838608247789
NA NA 0.333467590785314 NA 0.347620683731318 0.336271174400842 0.458243495759667 NA NA NA
NA NA NA NA 0.344070320105366 0.338022586894043 NA NA NA NA
NA NA 0.333448066026057 NA 0.347334364084063 0.335358744989062 0.433910347235056 NA NA NA
0.333741669203963 0.338064757445236 0.333812560089242 NA 0.346704460860104 0.336214677223642 0.36758454999076 NA 0.333333333427877 0.404877250642024
0.334199409347712 NA 0.333826529895061 NA 0.347277100154613 0.334943490736641 0.351773137025401 NA 0.333333333357991 NA
0.334860571191622 NA NA NA 0.347162572295711 0.340367219747845 NA NA 0.333333333394922 NA
NA NA NA NA 0.338887934490065 0.351723152365053 NA NA NA NA
0.333453530071721 0.353849953808907 0.333466407326654 NA 0.344585695470423 0.338107332659843 0.53832727571408 NA 0.333333333867081 0.360202317689993
0.3359406779661 0.473720494841299 0.333672327275504 NA 0.345473286376911 0.338841795963444 0.426415326803425 NA 0.3333333333614 0.33702541776042
NA NA 0.333415720044084 NA 0.346475405142301 0.334031061324861 0.381239861188115 NA NA NA
0.333892191882624 NA NA NA 0.347048044436809 0.333889818381861 NA NA 0.333333333346381 NA
NA NA NA NA 0.349624921262097 0.333487558480196 NA NA NA NA
NA NA NA NA 0.349395865544294 0.33365253023762 NA NA NA NA
0.333466867380313 NA NA NA 0.348508274637806 0.333404790115598 NA NA 0.333333333340187 NA
0.333433858633943 0.334472348349837 0.333413935705134 NA 0.352488117734639 0.334502812754481 0.415634817963408 NA 0.33333333348943 0.451828613298618
0.333370966223192 0.333377567244087 NA NA 0.342638721869095 0.333431908760654 NA NA 0.333333333368218 0.480283984605644
NA NA 0.333584877805724 NA 0.34673309282483 0.335172304304301 0.374976898909629 NA NA NA
NA NA NA NA 0.336196529805875 0.333502247746268 NA NA NA NA
NA NA NA 0.33399092560307 0.334020500486743 0.333513264695822 NA 0.335304136253041 NA NA
NA NA NA 0.3333874283755 0.348622802496707 0.333374846611682 NA 0.339902676399027 NA NA
NA NA NA 0.333493468996729 0.335767050334994 0.333423434184074 NA 0.33801703163017 NA NA
NA NA NA 0.333366906348941 0.370125408005497 0.333351654520442 NA 0.337804136253041 NA NA
NA NA NA NA 0.333539483479356 0.333444055653752 NA NA NA NA
NA NA NA NA 0.335051251216859 0.333450270343244 NA NA NA NA
NA NA NA NA 0.333333333333333 0.336666654641243 NA NA NA NA
0.357762684338375 0.666666666666667 NA 0.339596558379511 0.333461450629903 0.336158180046442 NA 0.33698296836983 0.333333333334545 0.333333333333333
0.443810281861596 0.449504826752082 NA 0.352299160683418 0.33342160203287 0.336149705469862 NA 0.334124087591241 0.333333333333333 0.335225615525251
0.348442561205271 0.364721227462756 NA 0.342443693378663 0.333467358609632 0.335567784544702 NA 0.335036496350365 0.333333333334979 0.340852665201215
0.358063189073554 0.380230261607702 NA 0.388961499057109 0.333519139028231 0.336920891938643 NA 0.333333333333333 0.333333333334941 0.341492911055623
NA 0.55622316692506 NA 0.337206514441463 0.333610096922064 0.337005637704443 NA 0.341666666666667 NA 0.334293702114946
0.362684304809148 NA NA 0.353569420913809 0.333548112864342 0.338418067134444 NA 0.335097323600973 0.33333333333532 NA
NA NA NA NA 0.33341922922751 0.336920891938643 NA NA NA NA
NA NA NA NA 0.666666666666667 0.333347162994854 NA NA NA NA
NA NA NA NA 0.333447861192235 0.334231626303921 NA NA NA NA
NA NA NA NA 0.333562389051137 0.334723151745561 NA NA NA NA
0.33338398105347 NA 0.33339866442884 0.333361678537238 0.335747866918628 0.334039535901441 0.39438181482166 0.563868613138686 0.333333333520491 NA
0.33406038135593 NA 0.333631719148344 0.334095017519612 0.334337456336254 0.33357908390726 0.337717406928274 0.335766423357664 0.333333333337536 NA
0.333401525423727 NA 0.333416382243566 0.333371047807402 0.335384527286262 0.334293773198841 0.398899361383191 0.569951338199513 0.333333333522384 NA
0.341176656250984 NA 0.341462630554562 0.342005672609563 0.334187997480387 0.531073441386575 0.473644222673977 0.547445255474453 0.333333333672006 NA
0.363327734514173 NA NA 0.348794994530617 0.333406058523736 0.380225978262472 NA 0.361313868613139 0.333333333354013 NA
0.335159530181384 NA 0.335341682007674 0.335223669239826 0.333440130561759 0.382203379464473 0.473644222673977 0.576642335766423 0.333333333692839 NA
0.333397230138491 NA 0.333374183155841 0.333361531831717 0.334081200251961 0.3334350161054 0.347050247438346 0.3661800486618 0.333333333354392 NA
0.333426930320148 NA 0.333416934349061 0.333410066480965 0.33512827120197 0.334717502027841 0.427339370418284 0.501824817518248 0.333333333531854 NA
0.40056619995087 NA 0.354336821490496 0.364038117295305 0.333566111206551 0.355112982997055 0.338959732232695 0.339416058394161 0.333333333337347 NA
0.334870373303763 NA 0.334655485611663 0.334575688477001 0.333675198992155 0.356497163838456 0.433910347235056 0.508515815085158 0.333333333535642 NA
