X4He.84Kr X4He.130Xe X4He.20Ne X4He.36Ar R.Ra X4He X20Ne X36Ar X84Kr X130Xe
0.00109739730984981 0.0163962931214647 0.000585694304198176 NA 0.0165349596289297 0.008686440836236 0.128220915555829 NA 1.59659090909173e-10 0.0952512865316386
0.00120062976208988 0.0137173838857803 0.00117643713730051 NA 0.0221181927503865 0.0073728814902686 0.0541821876058246 NA 1.238636363637e-10 0.096636372353687
NA NA 0.000202878324496949 NA 0.0214310255969765 0.00440677974130997 0.187790536588369 NA NA NA
NA NA NA NA 0.0161054801580484 0.00703389843324476 NA NA NA NA
NA NA 0.000173591229320635 NA 0.0210015461260952 0.0030381356485762 0.151309915956039 NA NA NA
0.000612503805947426 0.00715038343931193 0.000720331508115134 NA 0.0200566912901563 0.00432203397705401 0.0518732875658037 NA 1.42329545454619e-10 0.108675964499185
0.00129911402157165 NA 0.000741286185570394 NA 0.0209156502319189 0.00241525428129489 0.0281685804882554 NA 3.75000000000193e-11 NA
0.00229085678743586 NA NA NA 0.0207438584435664 0.0105508476498671 NA NA 9.28977272727750e-11 NA
NA NA NA NA 0.00833190173509706 0.0275847462653153 NA NA NA NA
0.000180295107585046 0.0308269081949928 0.000201103139156054 NA 0.0168785432056348 0.0071610170796287 0.307853338669458 NA 8.01136363636776e-10 0.041765664787922
0.00391101694915254 0.210623077139853 0.00050998260144411 NA 0.0182099295653668 0.00826271201495619 0.140073269094603 NA 4.26136363636583e-11 0.00705328318612357
NA NA 0.000125072328772878 NA 0.0197131077134513 0.00104661018856112 0.0723455345873226 NA NA NA
0.00083828782393978 NA NA NA 0.0205720666552139 0.000834745777921216 NA NA 2.00852272727376e-11 NA
NA NA NA NA 0.0244373818931455 0.000231355936418773 NA NA NA NA
NA NA NA NA 0.0240937983164405 0.000478813568046179 NA NA NA NA
0.000200301070472792 NA NA NA 0.0227624119567085 0.000107203391783791 NA NA 1.07954545454601e-11 NA
