"Li" "Na" "Mg" "K" "Ca" "Mn" "Fe" "Cu"
1517.07671673396 87721.4466302253 2682.15685931266 1104.37696871238 39938.0332712932 480.202276574806 341.400206701182 12.5
125.398313917323 77460.2768773881 13368.6961878162 4767.43889227023 37816.5825199856 30.1067074552784 224 13.9221431937323
2935.51519346381 73034.8637688461 15590.2980208424 9740.84294758843 38653.9277977241 152.430302673756 846.509418761432 254.830331665416
958.494713168118 74193.7578015231 46386.8365964599 10588.787563029 42245.029311192 326.124431102124 1761.89147970165 5358.61858040347
2314.35172656123 53292.1231414243 54856.416257257 9047.35888644456 70784.6285103566 566.688390863079 1521 166.306208579682
69 23690.5134994144 70468.0482371196 34299.5262553066 82962.4630967715 140 1608 78.5
2430.4845459628 97770.8215205614 1921.04278288626 2264.58425414623 10177.9617859322 129.559186578749 4430.0892404499 201.115432553116
5278.12334076207 94578.8760854974 2778.67467484375 1586.5645085739 28640.759242715 470.531103800946 846.222330063072 10
400.284962532352 92994.6818728756 2460.07628827965 1345.74326315974 31795.1095192985 349.513046581279 413.193198756038 121.549614215362
2869.39854527169 87249.425676961 4295.29965377709 1750.21147134791 26425.5330493934 453.007720556169 459.603926534318 16.4917190943901
1259.68047491983 78665.8537814975 9007.8885204951 4071.64517383671 25652.419414272 142.372530410058 606.329296077008 17.7329712743654
2627.81634147909 82234.8774349427 5574.66900138977 1329.23329425237 34659.2605096689 278.873601333255 109 17.9729281696294
3418.1228862844 82442.7831782501 6187.50709697665 1544.62354077971 36819.016415224 240.226948914558 237.066100340159 26.9591564232797
2590.6493569722 81329.3251202907 5984.25934243748 1426.96950628768 39182.9710058439 371.232894881443 407.684241067642 18.4919569527075
2317.86132733147 78853.7107525646 5572.38195320808 1828.17680595515 39759.5348771088 173.538262642834 433.04680268983 41.0089408878729
1885.95999540685 73576.7626966152 22057.3168409311 7203.31599116111 28825.0639251054 73.7273524049838 508.369479411843 7
2640 90700 5520 3090 25700 260 90 27.9692174714009
510 42800 54800 25600 76100 80 900 60
650 21500 55900 34900 105900 180 2100 1310
3070 88700 5580 9580 10350 90 1150 60
3200 109700 5180 2120 47600 280 195 11
3070.19237366059 85800 4190 1880 31700 250 550 13.5
877.162096815287 88600 2160 1340 44230.7433012703 370 155 14
3720 75000 18700 4010 30800 87.2285366390588 460 25.7290706885658
1120 61300 21600 10100 57900 95.7393193064723 275 17
504.37836628136 35143.9114293736 7743.81523318764 14123.183893459 116970.930056926 33.6792347006865 275.518560841151 16.5100985113618
604.651137674701 59272.9886558831 29967.5520965859 5034.14176469308 47552.6478311667 112.840154298267 242.161484675871 15.8846849723068
861.687081218895 49392.968314102 26358.0711633468 7912.10478613191 68800.5093492137 46.6629063896835 360.78566268133 4.60036055017892
913.500236128641 48594.3110378994 13446.1433686805 9240.43046771223 87594.4901703202 83.4916410219972 484.955061517992 8.55806109698365
788.903510696914 45039.8631320345 23063.3669395584 9499.98107538443 80350.1860940117 100.211303297719 1063.34930139817 18.6643556264377
3715.59737337618 45492.2920141124 23555.2186560007 7259.24862055562 80366.9199780893 164.916652652062 2725.85749479682 14.4394762517397
1762.38141168441 37839.8839820561 29137.4222462526 11043.5692930441 83917.3622081428 134.557148676151 1666.46547262954 13.3039999659692
12878.5708406783 21158.963653169 38474.0698651684 15406.6672704259 98331.1969252141 41.5069572884873 690.814013504776 17.1115194698665
423.045869807107 93108.4715693137 2461.27596952984 362.884250662449 27545.4391562384 41.1979546245829 337.382863367948 32.1600183510055
18.442803991418 83159.6200937232 17820.464641453 2899.50791786086 22354.6911250646 47.469024602812 531.036888449515 55.815134572622
41.8988854864171 77613.6262715733 16407.6124167613 8344.41430007778 30780.471201819 330.220724020722 814.2796933605 77.64170604978
788.41420414638 70106.1818806732 15819.319495569 6344.68712856811 46762.7237330747 27.2384781840396 630.596349712482 25.1454256761157
1445.5323822714 68020.4558644978 17521.7848513624 4905.87738909741 49174.4326220947 76.6281288175074 538.366999319168 11.5532666662858
1431.96800685738 63455.3258049311 15015.0099825175 6689.6740068746 59865.116983399 68.7310392542064 535.598005235475 5.2167502997424
168.473671587328 61904.5605115365 25984.1215957702 4843.35559444346 48483.3165354206 46.7120072300169 488.174192353161 2.18191606924295
1723.29906186863 60129.9505779039 26976.6926962395 6254.26771845468 49366.3222964609 203.730865927929 540.18000288287 20.3037751676032
3411.97603932953 59700.041641577 20323.5172146578 5087.10961343078 60358.1357763302 31.8639558860952 323.234690781777 22.5867872661902
1262.77623493321 40638.693148459 32272.9082035186 6281.84167678764 77628.3979927272 102.958975572945 168.736437577824 12.8799701269022
6739.73668386737 18617.8496311443 38878.2329246818 11577.7690611138 105057.335080611 53.173257741915 434.329573832006 29.3507805428237
438.894341815021 17120.3248188904 36996.5892180166 24594.7226135409 34733.5159075404 605.719760688546 4726.29450149223 3.45
1869.92412175642 41801.4789701687 30322.7619014195 10087.6877003337 29982.2697616725 245.325092064237 2272.34172724381 16.5
200 10721.3082594007 47337.4471455008 24529.1724570549 26692.4749011059 140 253.213188736325 140
332.300447292257 95653.1447758073 13308.5041629167 6167.20266576841 18000.6736551477 615.789493766791 1818.96730291549 60
3897.23102578152 30504.4261487174 31610.3664611306 8613.34666900927 27952.6727452217 540.924981632537 8225.8300082583 105
7525.26185946641 25171.0492954126 29071.1664567991 12069.7100756951 30608.9749392895 105 295.330267529644 115
6601.08628625171 68276.2801902309 20869.0454696622 929.846486679947 15517.5200324956 241.701811144288 293.046847218916 102.008129578598
1499.18756662196 56679.881512409 31634.0032622049 13853.717653935 14643.5774792219 411.982333403828 1324.36275010952 403.782093931472
1560.80361416649 50411.2489829422 34809.6127397698 11569.6696722861 16191.3916145123 278.173889111526 1144.44799028614 132.67555768329
4972.41543453791 50077.7066673471 32076.2852867635 11838.9398396476 11164.9295624394 230.68138850386 1015.77709517371 159.914159467147
7873.31528992316 47750.7922320539 23354.061776622 8633.63785276896 20578.0876088467 496.1039390394 1218.74594128568 65.8642443394708
5668.99010868823 54254.1636020819 19322.3190325502 11411.5284940958 25760.3578068683 1031.94305410616 1642.35968161628 78.8894560011429
3940.1732334024 60548.0192423745 20066.6815883271 12876.3342250571 24002.6104934971 936.880827566467 641.407451892926 40
7458.92401736779 37554.3321662036 26761.706407176 22642.6977856569 17952.7099612626 393.06698328434 1230.16154187745 80
7325.12932669771 30101.735376515 37198.292324759 15812.8955572967 11348.4612059272 315 259.944116073298 240
732.867321989543 63834.6624137647 20508.5011568516 4122.61259380167 35495.4486724602 109.476492770736 176.631957077346 155.869163540142
920.906160632493 89389.8445880406 12629.9303109911 4402.69431455393 25320.6158279737 162.067457120682 746.033935570304 103.220937776967
552.699604250864 100404.151079435 8678.76797615843 3281.24334583285 24587.624455147 129.222682333256 104.719891445611 17.5
2321.41882409316 83308.0659964753 11506.1342312355 5653.61687411582 28072.162368018 143.740887142976 438.930380332285 39
81.0822695062879 53994.5980898278 27936.849694577 3099.05296957175 34136.9376858598 190.548879108139 117.539650594904 33.8002829883564
