"Li" "Na" "Mg" "K" "Ca"
0.0474325490504198 0.316140993301568 0.019110065447006 0.00778425822876549 0.17118321348337
0.00392067296934623 0.279160568072463 0.095250454201913 0.0336035398044925 0.162090207966832
0.0917810990481651 0.26321173743129 0.111079116973411 0.0686588357219039 0.165679254389441
0.0299680609394571 0.267388297721798 0.330500984742961 0.0746356172351734 0.1810715070035
0.0723599542324859 0.19206049822797 0.390845785631281 0.063770777420787 0.303398519684718
0.00215733709994898 0.0853786930931493 0.502076904659197 0.241761986223713 0.355595402881514
0.0759909345196842 0.35235812698933 0.0136872134006595 0.0159620393348329 0.0436249875749175
0.165024511610619 0.340854614003968 0.019797744008831 0.0111829820624864 0.122760606924917
0.0125152115974309 0.335145306289607 0.017527766398308 0.00948554104878763 0.13628084747181
0.0897139121196269 0.314439867992348 0.0306035261186094 0.0123364561502984 0.113265659194531
0.0393848611974769 0.283505369653007 0.0641801908670282 0.0286992017644169 0.109951923749701
0.0821606621061601 0.296367842015931 0.0397188885847842 0.00936916967835449 0.148557229914147
0.106870192967624 0.297117117486493 0.0440852909726315 0.0108873589800393 0.157814419764764
0.0809986082718131 0.293104304771186 0.0426371736197202 0.0100580684279103 0.16794685018772
0.0724696845505677 0.284182390971205 0.0397025936241517 0.0128859988469217 0.170418130022435
0.058965963291461 0.265164697304559 0.157155897483028 0.0507729456219738 0.123550577416886
0.0825415933893524 0.326875458556019 0.0393293781089693 0.0217800249446797 0.110155864627536
0.0159455350865794 0.154247735680238 0.39044382615426 0.180442925108026 0.326181373469085
0.0203227407966209 0.0774842597459141 0.3982812022267 0.245994456494926 0.453910741792064
0.0959858680701939 0.31966762044012 0.0397568713492842 0.0675251258802691 0.0443623812799609
0.100050416229518 0.395349920657059 0.0369069164138516 0.0149429297355084 0.204024091683685
0.0959918827779481 0.309216255172067 0.0298532779486561 0.0132512773126207 0.135873187108673
0.027425135277227 0.319307228534325 0.0153897566513358 0.00944505936112323 0.189582714843191
0.116308608866815 0.270293929346212 0.133235393231472 0.0282646925657494 0.132015588736502
0.0350176456803313 0.220920238252304 0.153897566513358 0.0711903727965258 0.24817216194297
0.0157697704636295 0.126655812171209 0.0551738111072524 0.0995479927177461 0.501363188198743
0.0189048743743767 0.213615053438561 0.213515432501243 0.0354834088058476 0.203821129851007
0.0269412972298591 0.178008259835888 0.187798287501157 0.055768880131674 0.294894147633366
0.0285612746407605 0.175129963657411 0.0958022566402619 0.0651316524551296 0.375449291880148
0.0246656639406732 0.162320021108976 0.164323891092716 0.0669611083481741 0.344398607866508
0.116170957421122 0.163950538179463 0.167828279159656 0.0511671896554476 0.344470332982039
0.0551021855606846 0.13637187903353 0.207600850841225 0.0778411697996114 0.359688310945528
0.402658241578499 0.0762551923561164 0.274123413246034 0.108594691736005 0.421469183546983
0.0132268485494936 0.335555395145198 0.0175363139920578 0.00255780842442056 0.118065823610919
0.000576628192431496 0.299700539707609 0.126968802891526 0.0204373316434647 0.0958171334382488
0.00131000029139654 0.279713226876693 0.116902389964533 0.0588160361179404 0.131931884003087
0.0246503654019092 0.252657004959832 0.112710869178953 0.0447208556396122 0.200435341056632
0.0451956614123439 0.245140217220476 0.124840743036819 0.0345793307152368 0.210772456928224
0.0447715609729482 0.228687857996786 0.106980254513112 0.0471525135085774 0.256595086472175
0.00526745655188353 0.223099025401514 0.185133938961863 0.0341386426093633 0.207810181049407
0.053880246383717 0.216703474841269 0.192205896228238 0.0440835297471352 0.211594938367636
0.106678007156269 0.215154117832458 0.144802770478156 0.0358567554293988 0.258708273686687
0.039481652471816 0.146458560727893 0.229940835038449 0.0442778862197292 0.332732424145499
0.210722956405713 0.0670972231037189 0.277003029511484 0.0816065045161163 0.450298894212819
0.0137223629935541 0.0617002648930848 0.263596530090143 0.173357175414368 0.148875504916318
0.0584645895935456 0.150649146711066 0.216046262342242 0.0711035889150183 0.128510616696228
0.00625315101434488 0.0386387271622055 0.337273977807745 0.172895141743368 0.114409830808565
0.0103896243952642 0.344726191410334 0.094821592805823 0.043469847216612 0.0771548548778561
0.12184987071001 0.109935482749176 0.225220299766827 0.06071161984084 0.119811316533092
0.235282994148666 0.0907144242643236 0.20712878580584 0.0850739762212592 0.13119681322179
0.206387947033265 0.246062187383473 0.148689597835076 0.00655407109210745 0.0665115111305316
0.0468732312645767 0.20426970518489 0.225388709311526 0.097648645980341 0.0627656007184436
0.0487997035155917 0.181678060944662 0.248014569070508 0.0815494155547234 0.0693998732614644
0.155466323091124 0.180476001436857 0.228539918908386 0.083447380267342 0.0478553490060719
0.2461651474572 0.172089990157286 0.166395059056702 0.0608546432998831 0.0882022191802992
0.177245256242274 0.195527614178653 0.137669346227047 0.0804347492745403 0.11041457149145
0.123192491255724 0.218210160468686 0.142972845576016 0.0907595082905425 0.102880479075064
0.233208891425624 0.135342773402347 0.190674143139321 0.159598227374256 0.0769492719140178
0.229025699397236 0.108484217800775 0.265033642001525 0.111458012843216 0.0486420060829167
0.0229136501893956 0.230054956430739 0.146120760225734 0.0290584482622172 0.15214131668705
0.0287928264623776 0.322153764497983 0.0899868305599459 0.0310326187685385 0.108529740444829
0.0172805704547465 0.361848433572416 0.0618352440678169 0.0231280135669268 0.105387977859683
0.0725809123729872 0.300235526725612 0.0819799101001478 0.0398498111799044 0.120323475393525
0.00253509837904314 0.194592161082254 0.199046906668743 0.0218438352693063 0.146318439164288
