coord1 coord2 dim1 dim2
0 0 1 2
0 0.6 1 2
0.55 0.08 1 2
0 0 1 3
0 0.7 1 3
0.68 0 1 3
0 0 1 4
0 0.52 1 4
0.6 0 1 4
0 0 1 5
0 0.78 1 5
0.9 0 1 5
0 0 2 3
0 0.6 2 3
0.63 0 2 3
0 0 2 4
0 0.6 2 4
0.71 0 2 4
0 0 2 5
0 0.65 2 5
0.6 0 2 5
0 0 3 4
0 0.7 3 4
0.79 0 3 4
0 0 3 5
0 0.86 3 5
0.87 0 3 5
0 0 4 5
0 0.7 4 5
0.73 0 4 5
