"solute1" "solute2" "solute3" 
0.206690 0.232219 0.343347 
0.692780 0.254679 0.218446 
0.708541 0.666954 0.699231 
0.206979 0.318175 0.295245 
0.667622 0.650979 0.304655 
0.724503 0.262909 0.764773 
0.641224 0.700559 0.838035 
0.715448 0.678814 0.794390 
0.191091 0.722747 0.310274 
0.231482 0.272368 0.438041 
0.753021 0.214360 0.290861 
0.687315 0.767660 0.323255 
0.251694 0.294924 0.271296 
0.743592 0.777491 0.797945 
0.760601 0.361632 0.730547 
0.206946 0.236874 0.233989 
0.686737 0.731796 0.272476 
0.769490 0.243167 0.373869 
0.673728 0.672630 0.770805 
0.786450 0.737268 0.284045 
0.572529 0.693955 0.819997 
0.207666 0.387642 0.292557 
0.761193 0.248632 0.293272 
0.660841 0.758295 0.252168 
0.674956 0.196706 0.712777 
0.615783 0.666966 0.806027 
0.256404 0.290346 0.283742 
0.203545 0.358761 0.427449 
0.653383 0.595593 0.843831 
0.646536 0.265527 0.217316 
0.714815 0.753599 0.353853 
0.710455 0.337785 0.215441 
0.282787 0.338435 0.332288 
0.745443 0.729294 0.784087 
0.596240 0.586611 0.373330 
0.729203 0.260816 0.762303 
0.607348 0.586383 0.812860 
0.696312 0.291435 0.327615 
0.696007 0.738289 0.250627 
0.280376 0.351491 0.288090 
0.676262 0.672399 0.775596 
0.217091 0.334645 0.290684 
0.773967 0.240941 0.379099 
0.745156 0.637880 0.307163 
0.638666 0.229466 0.663983 
0.695546 0.778236 0.251242 
0.707890 0.757792 0.842911 
0.293146 0.339364 0.270486 
0.173236 0.576266 0.308043 
0.677456 0.708167 0.814105 
0.261200 0.328664 0.378582 
0.658275 0.292190 0.223685 
0.301281 0.319043 0.277338 
0.660208 0.637533 0.803036 
0.694994 0.211008 0.299399 
0.641807 0.677124 0.231454 
0.698883 0.797301 0.353902 
0.710851 0.308485 0.316204 
0.194038 0.239805 0.239430 
0.743541 0.635255 0.800005 
0.671001 0.750666 0.329960 
0.624567 0.600886 0.859661 
0.686154 0.219700 0.364484 
0.283154 0.402537 0.290214 
0.773070 0.241807 0.264936 
0.683726 0.629801 0.885342 
0.164307 0.770768 0.366691 
0.229881 0.242782 0.427456 
0.743205 0.225451 0.269334 
0.185192 0.292729 0.324580 
0.673767 0.740714 0.801003 
0.683785 0.792248 0.334948 
0.700175 0.367006 0.326091 
0.187666 0.229728 0.346517 
0.667234 0.723417 0.754122 
0.270098 0.815793 0.272244 
0.719303 0.793051 0.799334 
0.666014 0.601325 0.335988 
0.717028 0.304128 0.210855 
0.206405 0.225918 0.337492 
0.750870 0.766184 0.854082 
0.379923 0.730425 0.339710 
0.232687 0.235659 0.272372 
0.781702 0.311833 0.288170 
0.198663 0.318719 0.252482 
0.601795 0.757157 0.823659 
0.712378 0.677096 0.238364 
0.719143 0.327299 0.434933 
0.174634 0.672043 0.321787 
0.716212 0.415539 0.288915 
0.648897 0.744029 0.802402 
0.273690 0.240263 0.311727 
0.735599 0.786778 0.302046 
0.671146 0.303669 0.271136 
0.198012 0.181567 0.329603 
0.617101 0.666693 0.794561 
0.657485 0.657043 0.684033 
0.312729 0.320789 0.213028 
0.307813 0.656074 0.385936 
0.691132 0.257591 0.359679 
0.681647 0.255182 0.423381 
0.221123 0.366988 0.290985 
0.602752 0.766822 0.751307 
0.783291 0.668894 0.333394 
0.719372 0.412263 0.433510 
0.188159 0.231827 0.350017 
0.700937 0.770633 0.271981 
0.645238 0.615616 0.751352 
0.638396 0.611515 0.726796 
0.641276 0.242723 0.233676 
0.677926 0.698221 0.346023 
0.279429 0.364427 0.370733 
0.794895 0.662688 0.348939 
0.186983 0.314820 0.347878 
0.696828 0.372996 0.268864 
0.624582 0.695551 0.843168 
0.181013 0.292175 0.321290 
0.347683 0.591444 0.241910 
0.743820 0.218686 0.262334 
0.644513 0.700340 0.859650 
