"Rc/Ra" "d37Cl" "d81Br" 
0.559996 0.261216 0.236694 
0.146020 0.434425 0.555234 
0.695828 0.765854 0.737464 
0.643018 0.268361 0.164880 
0.169149 0.461293 0.522442 
0.595368 0.229017 0.136091 
0.726062 0.728245 0.731598 
0.204155 0.470237 0.512000 
0.679684 0.280316 0.211392 
0.137480 0.415312 0.569557 
0.716506 0.791216 0.704338 
0.175872 0.502444 0.512584 
0.635363 0.246949 0.274133 
0.745011 0.741935 0.669629 
0.731537 0.775260 0.654360 
0.663518 0.358380 0.178010 
0.181251 0.574910 0.516065 
0.501945 0.267815 0.250756 
0.135672 0.449512 0.565064 
0.687128 0.707159 0.623251 
0.644790 0.281729 0.203182 
0.654360 0.246822 0.257755 
0.154822 0.489895 0.492034 
0.683131 0.719800 0.730628 
0.721903 0.740992 0.707293 
0.140409 0.532860 0.545344 
0.624745 0.216889 0.229548 
0.742345 0.732733 0.719540 
0.144547 0.476763 0.567810 
0.599377 0.233391 0.226188 
0.168529 0.499293 0.545109 
0.747003 0.727211 0.682374 
0.594388 0.201118 0.185172 
0.711569 0.738380 0.637427 
0.128319 0.420810 0.533880 
0.642554 0.277682 0.254962 
0.641517 0.227972 0.251381 
0.690838 0.759789 0.664713 
0.147184 0.520970 0.551080 
0.615317 0.202371 0.159354 
0.169774 0.558936 0.591833 
0.737229 0.773353 0.656012 
0.615133 0.241002 0.156732 
0.167085 0.529872 0.511913 
0.732392 0.765855 0.682052 
0.157832 0.448766 0.550208 
0.664761 0.246317 0.149599 
0.731904 0.772093 0.698235 
0.154638 0.443197 0.578042 
0.604455 0.260284 0.226588 
0.624284 0.764872 0.637089 
0.733310 0.610253 0.567240 
0.134018 0.450185 0.527191 
0.733054 0.744378 0.695568 
0.643404 0.293151 0.188061 
0.206385 0.472418 0.494429 
0.631666 0.278739 0.178512 
0.721032 0.734760 0.719211 
0.727863 0.707245 0.681487 
0.124204 0.519555 0.519183 
0.638832 0.260178 0.229737 
0.157788 0.461492 0.451277 
0.678857 0.717711 0.735409 
0.667925 0.272079 0.276244 
0.605427 0.685639 0.238158 
0.140140 0.471147 0.526158 
0.666224 0.276068 0.709078 
0.742436 0.609752 0.689109 
0.625683 0.211627 0.251455 
0.716328 0.788518 0.694581 
0.135705 0.399549 0.529961 
0.696637 0.771247 0.628840 
0.572213 0.377517 0.190499 
0.176291 0.519658 0.573774 
0.644445 0.228255 0.178829 
0.750820 0.729633 0.724551 
0.604454 0.226939 0.121669 
0.148750 0.459261 0.496300 
0.136515 0.501193 0.578395 
0.641816 0.256633 0.135406 
0.725639 0.736749 0.684902 
0.164659 0.536141 0.534326 
0.640540 0.220054 0.210690 
0.707158 0.681682 0.665304 
0.619657 0.239478 0.179046 
0.730163 0.783720 0.657901 
0.165587 0.490463 0.505301 
0.124854 0.513213 0.536223 
0.619769 0.257262 0.227513 
0.716401 0.702657 0.720267 
0.732046 0.692235 0.628099 
0.628112 0.210183 0.228648 
0.145793 0.526606 0.557632 
0.725970 0.719922 0.670966 
0.619361 0.205543 0.232744 
0.150370 0.447089 0.514811 
0.125804 0.427835 0.551064 
0.662186 0.252532 0.145287 
0.696855 0.732767 0.719302 
0.620721 0.228192 0.212362 
0.172132 0.545811 0.522262 
0.752941 0.714020 0.657032 
0.606147 0.231987 0.226048 
0.170024 0.465699 0.549642 
0.735896 0.741929 0.671065 
0.740850 0.696157 0.710382 
0.139132 0.559993 0.522501 
0.585872 0.261042 0.165407 
0.187070 0.473793 0.506355 
0.596742 0.201485 0.184343 
0.730258 0.777351 0.696487 
0.137260 0.501381 0.479926 
0.628600 0.263716 0.708663 
0.547883 0.670067 0.164338 
0.746085 0.746597 0.568254 
0.688982 0.718477 0.152096 
0.662574 0.257312 0.652285 
0.123239 0.435186 0.503772 
0.552744 0.393357 0.176086 
0.656432 0.303576 0.721632 
0.691643 0.797922 0.157286 
0.161420 0.398547 0.512136 
0.158423 0.462701 0.554312 
0.638788 0.681539 0.132194 
0.736384 0.747920 0.547431 
0.668310 0.276381 0.639634 
0.696863 0.800403 0.725548 
0.131909 0.455958 0.484240 
0.675159 0.268828 0.173829 
0.607999 0.218850 0.193657 
0.661982 0.748723 0.725383 
0.709713 0.701041 0.555296 
0.156062 0.472798 0.457250 
0.679530 0.774641 0.733298 
0.667367 0.265521 0.145444 
0.131981 0.443170 0.475743 
0.161740 0.503123 0.505901 
0.765938 0.738266 0.676247 
0.634194 0.231048 0.216512 
0.135282 0.486090 0.551403 
0.722423 0.714933 0.637571 
0.617883 0.226982 0.258651 
0.125090 0.425754 0.494431 
0.674207 0.295209 0.275293 
0.670526 0.724293 0.681029 
0.703617 0.787667 0.704771 
