"Li" "Na" "Mg" "K" "Ca" 
0.000099 0.003824 0.002894 0.001391 0.805882 
0.000641 0.625427 0.016746 0.001582 0.001588 
0.000495 0.000418 0.731689 0.015796 0.060942 
0.000171 0.635087 0.001453 0.001761 0.000315 
0.691637 0.026669 0.002415 0.007827 0.027399 
0.000698 0.005112 0.757048 0.001067 0.007561 
0.000099 0.002200 0.011851 0.007773 0.741606 
0.000276 0.053848 0.007616 0.619855 0.026467 
0.702961 0.062839 0.004069 0.012740 0.000160 
0.001365 0.010333 0.761716 0.001589 0.021679 
0.000068 0.002711 0.016935 0.005557 0.762909 
0.000766 0.615581 0.002622 0.001424 0.000701 
0.000091 0.018125 0.024353 0.641877 0.065069 
0.682149 0.107742 0.001445 0.012805 0.043599 
0.000182 0.007035 0.005272 0.003232 0.779476 
0.000096 0.688151 0.002537 0.001041 0.000263 
0.000091 0.000507 0.023254 0.628888 0.027413 
0.001343 0.002547 0.761068 0.016325 0.003547 
0.000416 0.029787 0.022416 0.632846 0.082670 
0.000096 0.590561 0.002537 0.001041 0.000354 
0.000171 0.001603 0.756424 0.073143 0.002511 
0.000108 0.000950 0.001007 0.013146 0.778860 
0.681466 0.092441 0.059862 0.001295 0.041815 
0.000229 0.046922 0.726804 0.003437 0.012841 
0.000108 0.004207 0.003639 0.013768 0.763582 
0.000344 0.001093 0.011971 0.604279 0.045717 
0.000003 0.649583 0.001918 0.002435 0.000196 
0.641008 0.002519 0.039348 0.005280 0.059226 
0.000344 0.004616 0.018991 0.611840 0.014921 
0.000307 0.564868 0.002986 0.002301 0.001562 
0.000018 0.070922 0.747550 0.000766 0.078765 
0.000108 0.001064 0.001391 0.015188 0.740248 
0.687301 0.040375 0.009748 0.016744 0.020458 
0.000201 0.003547 0.002112 0.004739 0.699710 
0.000077 0.034103 0.755936 0.022784 0.079002 
0.000252 0.613218 0.002013 0.001242 0.000030 
0.000155 0.008438 0.020011 0.642294 0.053959 
0.680517 0.002388 0.027158 0.003004 0.006504 
0.698212 0.104393 0.016336 0.015619 0.000031 
0.000629 0.018325 0.751968 0.002332 0.012636 
0.000269 0.623485 0.011085 0.001205 0.000498 
0.000023 0.000200 0.001019 0.639366 0.003188 
0.000098 0.000144 0.001090 0.006850 0.751545 
0.001537 0.006753 0.747072 0.002859 0.001331 
0.000098 0.000294 0.004911 0.006381 0.824021 
0.000028 0.012274 0.001701 0.629298 0.000554 
0.000825 0.655013 0.002609 0.001358 0.003502 
0.651039 0.070199 0.002774 0.006718 0.037651 
0.000159 0.000788 0.004512 0.003755 0.711930 
0.000023 0.006151 0.000339 0.630885 0.068844 
0.000949 0.725114 0.000828 0.004440 0.004275 
0.000904 0.036968 0.756975 0.020104 0.000269 
0.664454 0.081046 0.022998 0.000968 0.010466 
0.000159 0.000767 0.009796 0.000012 0.822055 
0.002123 0.013369 0.767381 0.007135 0.007882 
0.000023 0.001951 0.016579 0.608224 0.074064 
0.000681 0.758360 0.001761 0.006422 0.000243 
0.659140 0.057874 0.001069 0.003425 0.003583 
0.665719 0.000635 0.006390 0.016591 0.035113 
0.002495 0.003173 0.743451 0.014865 0.004947 
0.000778 0.599525 0.000388 0.002113 0.000681 
0.000159 0.003931 0.002853 0.000477 0.827603 
0.000023 0.022916 0.007263 0.628847 0.017426 
0.635365 0.052130 0.039465 0.000342 0.018992 
0.000055 0.011415 0.765096 0.012344 0.004996 
0.001132 0.760653 0.001223 0.016535 0.000231 
0.000159 0.002802 0.002808 0.001018 0.752045 
0.000017 0.001732 0.020598 0.633612 0.050015 
0.000017 0.015486 0.000432 0.627436 0.072403 
0.001132 0.721652 0.002255 0.001136 0.001493 
0.640554 0.096901 0.015388 0.017162 0.018417 
0.000121 0.000234 0.004998 0.006618 0.735352 
0.000741 0.000622 0.753415 0.000882 0.003427 
0.680067 0.099745 0.026177 0.009335 0.034393 
0.000071 0.002192 0.003150 0.002559 0.732106 
0.000390 0.000353 0.005284 0.641190 0.008574 
0.000563 0.013504 0.719808 0.006416 0.024448 
0.000089 0.630318 0.001767 0.001555 0.000189 
0.000071 0.002000 0.021006 0.007345 0.747673 
0.000085 0.614042 0.000160 0.001741 0.000228 
0.000898 0.003734 0.730597 0.001619 0.063415 
0.000421 0.027691 0.018283 0.641601 0.045585 
0.660802 0.016675 0.000089 0.003751 0.004221 
0.000011 0.002066 0.020981 0.001705 0.723084 
0.000333 0.622352 0.001943 0.000286 0.002258 
0.000421 0.015616 0.004093 0.642863 0.050540 
0.002344 0.004758 0.752493 0.017382 0.000181 
0.638820 0.029538 0.070491 0.014276 0.049648 
0.676635 0.070840 0.008928 0.005518 0.019357 
0.000011 0.000559 0.017514 0.002752 0.782439 
0.000813 0.616934 0.003124 0.002358 0.001653 
0.000383 0.004067 0.000102 0.641857 0.044947 
0.000369 0.025868 0.743778 0.006351 0.004141 
0.001534 0.043742 0.738544 0.003545 0.001615 
0.000356 0.004150 0.021899 0.636894 0.020576 
0.669429 0.002266 0.000815 0.019597 0.048767 
0.000006 0.003839 0.001784 0.020833 0.803137 
0.000813 0.719592 0.000559 0.000386 0.001145 
0.000283 0.687554 0.002136 0.000152 0.002726 
0.002169 0.008795 0.762922 0.004396 0.017251 
0.000006 0.002500 0.010062 0.010872 0.716094 
0.000144 0.002493 0.000001 0.621152 0.088236 
0.676000 0.096652 0.070498 0.007971 0.000862 
0.000149 0.018924 0.004639 0.633210 0.097007 
0.000099 0.000959 0.002610 0.002318 0.726652 
0.000076 0.018113 0.737793 0.000614 0.010899 
0.000468 0.628919 0.003692 0.001113 0.000241 
0.669782 0.005350 0.043650 0.011345 0.007127 
0.000357 0.003427 0.756659 0.020175 0.004281 
0.000344 0.737404 0.003006 0.002415 0.000070 
0.000099 0.007659 0.007432 0.027559 0.783296 
0.000149 0.040087 0.012004 0.606608 0.030393 
0.692751 0.062594 0.000139 0.000202 0.012737 
0.000045 0.005535 0.022448 0.639004 0.024983 
0.001338 0.002980 0.702377 0.003499 0.005960 
0.000099 0.003229 0.008399 0.001887 0.823433 
0.000418 0.689609 0.002745 0.000858 0.000899 
0.693672 0.069285 0.004688 0.005039 0.002970 
0.612701 0.032913 0.062240 0.010235 0.022499 
0.000099 0.000732 0.003386 0.000426 0.766238 
0.000378 0.651017 0.000675 0.002272 0.000348 
0.000223 0.010667 0.726258 0.012380 0.009289 
0.000158 0.005328 0.024315 0.631877 0.090896 
0.000046 0.011799 0.739077 0.000831 0.008582 
0.000099 0.000390 0.015086 0.006481 0.800551 
0.000571 0.685927 0.002438 0.000860 0.001166 
0.000418 0.024241 0.000140 0.640776 0.045344 
0.657280 0.000950 0.007933 0.010870 0.000877 
0.000562 0.000114 0.001231 0.001662 0.815113 
0.695463 0.107228 0.014987 0.000106 0.045813 
0.000877 0.056378 0.016941 0.633424 0.001275 
0.000002 0.712302 0.004161 0.009357 0.007489 
0.000002 0.004073 0.727606 0.005567 0.000869 
0.000877 0.003162 0.016859 0.635873 0.019199 
0.000002 0.683536 0.001806 0.000156 0.001249 
0.000439 0.004055 0.002099 0.011817 0.819197 
0.000002 0.003981 0.711964 0.000657 0.006094 
0.688246 0.038735 0.064535 0.012001 0.007715 
0.000002 0.019935 0.721429 0.000058 0.051066 
0.000439 0.000685 0.002719 0.002328 0.745115 
0.000002 0.724818 0.001795 0.001169 0.002316 
0.000899 0.002772 0.014141 0.637816 0.050741 
0.660942 0.029390 0.087237 0.002919 0.000921 
0.000007 0.003565 0.718516 0.014794 0.000107 
0.000076 0.676762 0.006434 0.000218 0.004014 
0.000168 0.000645 0.007317 0.000042 0.798534 
0.676408 0.008504 0.000135 0.008509 0.008642 
0.000530 0.015214 0.003981 0.630948 0.015910 
0.693300 0.087477 0.074996 0.007077 0.048134 
0.000774 0.596273 0.001404 0.009180 0.003126 
0.000013 0.002394 0.000041 0.001612 0.733914 
0.000157 0.038152 0.004652 0.641640 0.058371 
0.000622 0.001689 0.721302 0.012604 0.002682 
0.000157 0.001419 0.023842 0.606003 0.041826 
0.000965 0.020001 0.730289 0.000096 0.000098 
0.000491 0.681342 0.001346 0.005093 0.002609 
0.000013 0.002347 0.002332 0.014800 0.785239 
0.693230 0.082746 0.000538 0.003165 0.029821 
0.001089 0.004708 0.728365 0.003995 0.049511 
0.000157 0.027834 0.002468 0.641168 0.055741 
0.000815 0.694897 0.004035 0.000766 0.002255 
0.000013 0.002620 0.007033 0.007596 0.796132 
0.689349 0.042984 0.002159 0.015202 0.000706 
0.000934 0.003148 0.715026 0.015937 0.003165 
0.000087 0.022058 0.024219 0.635075 0.006343 
0.000815 0.620560 0.002296 0.001545 0.001788 
0.000099 0.005337 0.020333 0.000769 0.797837 
0.679474 0.064667 0.009612 0.018804 0.010646 
0.000672 0.730723 0.001859 0.009111 0.001501 
0.000087 0.019611 0.007281 0.635728 0.072372 
0.000114 0.002111 0.006329 0.004779 0.816472 
0.000934 0.009440 0.730485 0.000152 0.064553 
0.644795 0.053059 0.072224 0.011302 0.008282 
0.000076 0.014086 0.021762 0.614788 0.042345 
0.000298 0.003324 0.007804 0.015641 0.816916 
0.002394 0.000592 0.728041 0.008367 0.001054 
0.000591 0.733208 0.000674 0.000130 0.001923 
0.656104 0.007946 0.010319 0.003264 0.029268 
0.000282 0.002113 0.011026 0.638697 0.002096 
0.632810 0.048833 0.037926 0.000871 0.021792 
0.001397 0.023061 0.717316 0.019872 0.011210 
0.000199 0.001456 0.002099 0.013077 0.767009 
0.000016 0.685047 0.000674 0.001551 0.001128 
0.681036 0.004500 0.011398 0.013977 0.012154 
0.000016 0.680939 0.000844 0.001047 0.001792 
0.000206 0.033945 0.002271 0.640750 0.091372 
0.000199 0.000286 0.011828 0.003664 0.827671 
0.000284 0.044686 0.720389 0.011854 0.005681 
0.000129 0.031423 0.002428 0.636722 0.034802 
0.000155 0.001950 0.002009 0.003700 0.718416 
0.000085 0.598176 0.000575 0.001031 0.000087 
0.000561 0.008293 0.764504 0.003110 0.019623 
0.687149 0.026928 0.018628 0.011776 0.002105 
0.000259 0.002155 0.002965 0.007772 0.750672 
0.000085 0.707918 0.003639 0.001258 0.000087 
0.696043 0.067705 0.008521 0.011855 0.004670 
0.002370 0.003356 0.708755 0.002158 0.015558 
0.000162 0.009564 0.020209 0.637696 0.031072 
0.000162 0.000839 0.005021 0.617036 0.014803 
0.000123 0.016944 0.766221 0.002114 0.007216 
0.704921 0.089136 0.008288 0.007294 0.014983 
0.000054 0.739049 0.000705 0.001258 0.000471 
0.000323 0.001997 0.003546 0.006367 0.794701 
0.000076 0.002831 0.001071 0.630183 0.049153 
0.000116 0.736796 0.001814 0.000464 0.000302 
0.000473 0.004914 0.021734 0.003066 0.775195 
0.000556 0.006265 0.726373 0.000079 0.017862 
0.701671 0.029988 0.021279 0.011923 0.001066 
0.000473 0.002594 0.016055 0.012433 0.805440 
0.000311 0.686150 0.003199 0.000281 0.000048 
0.000143 0.003180 0.756246 0.003854 0.070346 
0.000076 0.002646 0.000518 0.604357 0.033685 
0.683077 0.007625 0.044699 0.019962 0.000208 
0.667277 0.049650 0.000616 0.014965 0.053676 
0.000013 0.001412 0.013940 0.003600 0.792725 
0.000076 0.005847 0.025334 0.627514 0.027268 
0.001024 0.637274 0.003744 0.001235 0.000731 
0.000029 0.010692 0.702045 0.018527 0.000014 
0.000715 0.608183 0.003210 0.002906 0.002017 
0.000078 0.001303 0.002383 0.001265 0.739807 
0.673660 0.041336 0.030507 0.004843 0.010400 
0.000006 0.024416 0.023933 0.634636 0.070035 
0.002453 0.053126 0.732594 0.016775 0.000509 
0.001237 0.012280 0.752545 0.017535 0.045673 
0.000078 0.001303 0.001297 0.000361 0.794623 
0.000036 0.027941 0.017095 0.617068 0.003934 
0.690579 0.076925 0.001803 0.001571 0.018717 
0.000401 0.698987 0.001920 0.009681 0.001229 
0.001305 0.008654 0.756996 0.006794 0.044043 
0.660053 0.004675 0.000309 0.008349 0.000336 
0.000078 0.000714 0.001761 0.002609 0.822984 
0.000036 0.003467 0.005410 0.632935 0.040161 
0.000440 0.621888 0.002298 0.001579 0.000165 
0.000036 0.002885 0.023354 0.639839 0.003772 
0.001127 0.017286 0.751288 0.000457 0.084806 
0.657919 0.001015 0.023144 0.001355 0.012494 
0.000306 0.738552 0.000500 0.003581 0.001953 
0.000120 0.006039 0.002376 0.013894 0.738921 
0.000036 0.000434 0.002600 0.643407 0.025707 
0.000716 0.651591 0.001104 0.000452 0.002710 
0.000308 0.002574 0.005575 0.010148 0.791576 
0.670074 0.063424 0.011023 0.002345 0.001907 
0.000485 0.000989 0.733894 0.019172 0.061327 
0.000308 0.003439 0.003745 0.000958 0.823239 
0.000121 0.638401 0.000592 0.000709 0.000674 
0.000091 0.033759 0.011904 0.635717 0.035448 
0.000596 0.000887 0.761815 0.021117 0.019425 
0.674369 0.025549 0.001147 0.019190 0.037145 
0.000425 0.001167 0.000660 0.624798 0.086308 
0.000152 0.001331 0.005575 0.008010 0.756238 
0.001298 0.007580 0.721843 0.014549 0.000069 
0.000024 0.662818 0.003256 0.001167 0.001696 
0.647287 0.089420 0.016975 0.003341 0.016137 
0.000217 0.003528 0.000619 0.014481 0.796263 
0.000526 0.722521 0.001855 0.000394 0.002630 
0.600252 0.062304 0.066932 0.000112 0.036221 
0.000114 0.001607 0.024718 0.632585 0.000669 
0.000501 0.011476 0.717321 0.027113 0.006944 
0.000205 0.004038 0.008723 0.005235 0.793345 
0.000526 0.722006 0.002425 0.001190 0.002630 
0.683613 0.084806 0.086782 0.019495 0.038255 
0.000114 0.002931 0.002247 0.608721 0.001193 
0.000613 0.034751 0.736394 0.002159 0.048064 
0.000018 0.000418 0.024206 0.609198 0.050418 
0.000118 0.003687 0.000923 0.004161 0.793121 
0.000339 0.743835 0.001465 0.000418 0.000608 
0.661227 0.006833 0.019345 0.006411 0.003226 
0.001839 0.023400 0.763376 0.022891 0.020187 
0.000018 0.000434 0.022880 0.612517 0.045268 
0.630530 0.000526 0.034608 0.011454 0.032495 
0.000104 0.003885 0.000738 0.001311 0.748246 
0.000317 0.623989 0.003621 0.002704 0.000640 
0.001105 0.006097 0.729127 0.001257 0.001085 
0.000656 0.626093 0.003713 0.002203 0.000963 
0.000095 0.011269 0.755799 0.022601 0.020714 
0.000336 0.001388 0.009509 0.016480 0.775024 
0.000018 0.005599 0.000162 0.636378 0.090920 
0.701413 0.079002 0.014041 0.000389 0.051038 
0.669495 0.018062 0.002879 0.015648 0.026408 
0.000331 0.000974 0.736149 0.013045 0.003770 
0.000491 0.001497 0.020932 0.005366 0.809009 
0.000924 0.608844 0.001332 0.000052 0.002329 
0.000018 0.007809 0.007873 0.616233 0.061527 
0.686530 0.003158 0.002001 0.017766 0.013493 
0.000081 0.000234 0.007453 0.001109 0.761795 
0.000829 0.719145 0.001758 0.000076 0.001270 
0.000237 0.012407 0.758593 0.020986 0.032863 
0.000108 0.022916 0.022623 0.633720 0.002431 
0.001097 0.699093 0.003504 0.002447 0.001066 
0.655390 0.000879 0.031947 0.001395 0.002271 
0.000061 0.003490 0.003931 0.001406 0.768668 
0.000953 0.025922 0.755006 0.012711 0.065994 
0.000108 0.029483 0.013316 0.632467 0.011601 
0.000077 0.016699 0.725783 0.017762 0.061478 
0.000242 0.698065 0.003993 0.001599 0.003777 
0.000061 0.000892 0.001840 0.002186 0.693400 
0.663020 0.000072 0.017441 0.009714 0.000066 
0.000289 0.025437 0.007586 0.638570 0.064244 
0.000249 0.757643 0.000303 0.004829 0.002261 
0.000456 0.014199 0.719335 0.000558 0.025341 
0.000004 0.000212 0.003111 0.004126 0.824813 
0.681059 0.028566 0.063250 0.016265 0.000004 
0.000235 0.017345 0.022052 0.610526 0.059111 
0.000059 0.003138 0.007720 0.010324 0.766044 
0.000376 0.026488 0.742956 0.001531 0.000605 
0.000537 0.003762 0.014128 0.634030 0.042851 
0.000181 0.691353 0.002989 0.000678 0.002714 
0.657270 0.019623 0.001738 0.001409 0.036895 
0.000059 0.002512 0.001275 0.005302 0.789810 
0.000562 0.002071 0.767459 0.000479 0.005032 
0.000181 0.725551 0.001849 0.008347 0.002012 
0.000333 0.010606 0.025223 0.623911 0.002626 
0.707835 0.076807 0.096612 0.000396 0.001571 
0.654655 0.076063 0.067552 0.008695 0.013243 
0.000443 0.002932 0.046112 0.642105 0.075836 
0.000181 0.625584 0.000552 0.001005 0.002731 
0.000001 0.003672 0.012396 0.010284 0.812828 
0.002226 0.008899 0.731217 0.000568 0.024088 
0.000989 0.000435 0.723569 0.009137 0.064824 
0.000001 0.002209 0.001264 0.005536 0.780906 
0.000022 0.626702 0.000661 0.000543 0.000043 
0.650254 0.091794 0.003136 0.008624 0.018987 
0.000210 0.018818 0.008263 0.641925 0.029119 
0.000498 0.031741 0.008745 0.638116 0.024966 
0.665586 0.000541 0.001015 0.008380 0.015832 
0.000771 0.013340 0.755492 0.000780 0.002493 
0.000073 0.603514 0.010500 0.000538 0.000861 
0.000289 0.003428 0.001462 0.009881 0.826936 
0.000015 0.599236 0.005775 0.000243 0.001791 
0.000498 0.014979 0.003986 0.628653 0.039534 
0.000277 0.004441 0.753120 0.010703 0.001227 
0.000265 0.000820 0.001634 0.004719 0.808931 
0.660685 0.040302 0.015619 0.010311 0.009200 
0.000240 0.004985 0.011988 0.642561 0.013202 
0.000279 0.016632 0.742275 0.013905 0.022372 
0.000121 0.000618 0.001634 0.007968 0.786993 
0.650006 0.089229 0.002005 0.000025 0.005388 
0.000032 0.707781 0.001315 0.004199 0.000319 
0.000032 0.675573 0.001767 0.000680 0.000707 
0.701832 0.047525 0.056954 0.021182 0.000541 
0.000370 0.012653 0.722886 0.019409 0.074786 
0.000079 0.003026 0.000775 0.626533 0.069545 
0.000121 0.000958 0.005001 0.000093 0.766976 
0.000032 0.742575 0.001584 0.015771 0.000338 
0.000400 0.001805 0.004253 0.001153 0.818330 
0.679292 0.019381 0.010179 0.001794 0.040353 
0.000020 0.000924 0.010001 0.619116 0.004210 
0.000030 0.006500 0.729493 0.016777 0.011313 
0.000111 0.047668 0.011410 0.641138 0.049395 
0.000030 0.000001 0.747846 0.019001 0.027638 
0.687111 0.105493 0.000755 0.017700 0.012971 
0.000087 0.712166 0.000537 0.000107 0.000148 
0.000437 0.004025 0.021240 0.002387 0.710936 
0.000255 0.002218 0.000764 0.001177 0.822138 
0.000111 0.094052 0.001607 0.591074 0.032349 
0.000604 0.618132 0.010926 0.000070 0.000465 
0.637648 0.000920 0.019316 0.009537 0.024708 
0.000030 0.013309 0.760422 0.025383 0.022740 
0.001303 0.002290 0.737501 0.001703 0.004158 
0.000023 0.002222 0.012429 0.018373 0.768583 
0.001177 0.661309 0.000263 0.011190 0.000248 
0.000133 0.002672 0.001569 0.626225 0.052571 
0.706161 0.086273 0.006490 0.000697 0.050554 
0.000023 0.000277 0.004077 0.000979 0.763683 
0.001177 0.669217 0.001540 0.008982 0.000539 
0.000133 0.037142 0.005859 0.627951 0.041041 
0.000440 0.000738 0.741733 0.014045 0.005876 
0.620347 0.022074 0.054286 0.001253 0.045909 
0.000023 0.007962 0.010054 0.012331 0.827439 
0.000084 0.663252 0.000155 0.003508 0.000023 
0.000133 0.041858 0.000193 0.607299 0.052235 
0.617019 0.002187 0.066907 0.000849 0.001107 
0.000901 0.003625 0.718154 0.023645 0.010551 
0.000133 0.042991 0.000260 0.636999 0.055047 
0.000671 0.655715 0.001938 0.002342 0.005620 
0.000021 0.000217 0.763229 0.000540 0.001556 
