"Li" "Na" "Mg" "K" "Ca" 
0.695558 0.042281 0.006958 0.012436 0.043770 
0.001791 0.003846 0.723265 0.000081 0.045011 
0.001287 0.724517 0.000289 0.009077 0.000359 
0.000021 0.017357 0.020063 0.629821 0.004176 
0.001287 0.728980 0.001280 0.001082 0.001273 
0.000021 0.006623 0.003226 0.643458 0.044397 
0.000371 0.025883 0.766089 0.014261 0.009968 
0.000130 0.000191 0.005453 0.007171 0.769841 
0.702890 0.042361 0.014432 0.032965 0.000534 
0.000647 0.001329 0.737815 0.021706 0.021233 
0.656574 0.072700 0.001339 0.001010 0.019631 
0.000333 0.001594 0.005416 0.012194 0.782043 
0.000326 0.710511 0.023238 0.000666 0.000268 
0.000021 0.032384 0.001865 0.605363 0.002248 
0.001824 0.006113 0.754842 0.008705 0.017962 
0.655932 0.080134 0.018372 0.000833 0.037423 
0.000214 0.000513 0.000045 0.010822 0.758736 
0.000089 0.616590 0.002485 0.000773 0.000446 
0.000060 0.023501 0.001702 0.624907 0.000993 
0.673133 0.099404 0.068170 0.005935 0.002571 
0.000535 0.001969 0.003588 0.000898 0.779744 
0.000089 0.586987 0.002662 0.009365 0.000446 
0.000156 0.000379 0.016931 0.641191 0.047215 
0.000676 0.022985 0.740058 0.026910 0.101026 
0.001963 0.004749 0.766896 0.023215 0.081276 
0.000156 0.005595 0.001308 0.629229 0.025951 
0.000144 0.643661 0.013445 0.001473 0.000573 
0.000124 0.003828 0.001701 0.007694 0.821571 
0.662091 0.001251 0.074863 0.005822 0.003572 
0.000124 0.003901 0.014760 0.003189 0.805580 
0.000385 0.014983 0.000683 0.633722 0.046475 
0.000144 0.744396 0.000932 0.001138 0.001936 
0.648742 0.000742 0.040696 0.006567 0.015567 
0.000978 0.006601 0.755280 0.000108 0.000777 
0.000446 0.010973 0.018894 0.605514 0.035431 
0.001276 0.002525 0.723345 0.021731 0.014925 
0.000144 0.655220 0.000348 0.000229 0.000775 
0.708047 0.101780 0.009220 0.004041 0.053747 
0.000014 0.003777 0.003038 0.011974 0.802957 
0.000390 0.001059 0.000665 0.003742 0.826605 
0.000046 0.645803 0.012089 0.001412 0.002734 
0.000245 0.005563 0.738973 0.060163 0.080467 
0.000063 0.023177 0.014191 0.604654 0.000173 
0.671344 0.072726 0.003021 0.010673 0.031918 
0.000551 0.001136 0.001876 0.011693 0.824495 
0.650177 0.005211 0.017457 0.013072 0.012740 
0.001149 0.007778 0.730517 0.001432 0.002739 
0.000067 0.662846 0.001017 0.001854 0.002274 
0.000063 0.022260 0.023901 0.600281 0.048617 
0.000234 0.003870 0.015729 0.000376 0.756928 
0.000175 0.005930 0.000457 0.643508 0.063263 
0.000298 0.000020 0.744549 0.012157 0.000009 
0.000067 0.667953 0.003373 0.004229 0.000986 
0.633781 0.061047 0.062181 0.001444 0.011400 
0.669660 0.003288 0.004109 0.000249 0.000326 
0.000654 0.025769 0.018500 0.637784 0.030791 
0.000492 0.036190 0.756586 0.018726 0.007776 
0.000067 0.628859 0.001446 0.003124 0.001968 
0.000234 0.001204 0.003074 0.027608 0.799091 
0.000651 0.010646 0.728865 0.004139 0.042476 
0.000317 0.001197 0.001836 0.037011 0.813508 
0.000545 0.031112 0.015770 0.611394 0.084110 
0.000067 0.707513 0.003410 0.000671 0.006997 
0.706232 0.047423 0.052288 0.014983 0.001366 
0.689892 0.050517 0.002920 0.000843 0.054095 
0.000939 0.001562 0.025341 0.629684 0.031532 
0.000207 0.016006 0.732678 0.000311 0.001783 
0.000067 0.648986 0.001238 0.000656 0.000140 
0.000381 0.002907 0.006244 0.020579 0.825378 
0.000348 0.003835 0.006692 0.011121 0.824388 
0.000783 0.015667 0.015846 0.612774 0.044184 
0.000077 0.000016 0.751924 0.000026 0.021788 
0.000067 0.646441 0.000166 0.003219 0.000639 
0.677080 0.080546 0.007640 0.007311 0.006703 
0.000067 0.752238 0.000253 0.001194 0.001000 
0.677665 0.035587 0.026679 0.015938 0.013348 
0.000226 0.023088 0.024603 0.635192 0.020707 
0.000348 0.000849 0.004795 0.023613 0.704492 
0.000141 0.002861 0.726781 0.000878 0.053663 
0.000187 0.001932 0.000727 0.008205 0.803458 
0.000304 0.015395 0.024881 0.627154 0.075101 
0.631030 0.099472 0.067654 0.017680 0.000306 
0.000141 0.004587 0.764192 0.000997 0.002472 
0.000067 0.645894 0.003037 0.002239 0.003853 
0.627091 0.057282 0.072199 0.018738 0.011551 
0.000014 0.033872 0.752503 0.000528 0.005739 
0.000054 0.696212 0.000408 0.007084 0.000808 
0.000533 0.003204 0.003292 0.000275 0.808095 
0.000304 0.003759 0.016304 0.621770 0.046413 
0.638834 0.000263 0.025527 0.015128 0.003922 
0.000304 0.019536 0.000174 0.630696 0.017555 
0.000147 0.001661 0.745162 0.006833 0.009617 
0.000054 0.687386 0.003820 0.004235 0.000938 
0.000403 0.001681 0.008174 0.000479 0.814306 
0.000038 0.603217 0.002653 0.000787 0.000918 
0.001235 0.024023 0.746900 0.014962 0.049104 
0.683803 0.094158 0.007321 0.008605 0.023111 
0.000139 0.003277 0.001215 0.004185 0.804503 
0.000304 0.009291 0.004491 0.606006 0.000568 
0.000775 0.054238 0.755920 0.002547 0.004463 
0.000020 0.751228 0.000927 0.001389 0.001422 
0.000024 0.001382 0.003273 0.015131 0.802528 
0.000487 0.008065 0.018590 0.636898 0.066130 
0.649411 0.000385 0.068985 0.000772 0.027594 
0.000487 0.021892 0.000687 0.607227 0.061438 
0.000024 0.000313 0.003445 0.002420 0.797571 
0.000949 0.006701 0.707551 0.014015 0.005530 
0.000112 0.615756 0.005220 0.000061 0.000876 
0.672489 0.040615 0.013310 0.012124 0.004943 
0.001173 0.001596 0.717482 0.009650 0.004266 
0.000148 0.003861 0.003734 0.001855 0.708751 
0.000112 0.687951 0.013859 0.000923 0.001690 
0.660726 0.023791 0.001480 0.003426 0.037002 
0.000227 0.003285 0.016255 0.631782 0.054043 
0.000112 0.625670 0.001285 0.001581 0.001494 
0.000148 0.000474 0.007200 0.003595 0.803355 
0.000019 0.018442 0.738925 0.000327 0.001061 
0.000481 0.030553 0.005001 0.610902 0.059651 
0.684533 0.005543 0.010573 0.009678 0.025363 
0.000007 0.003683 0.002510 0.000047 0.814747 
0.000148 0.036754 0.019579 0.641041 0.028553 
0.001854 0.002038 0.764645 0.026887 0.003543 
0.000112 0.630276 0.002907 0.002587 0.001699 
0.669022 0.000363 0.024094 0.016601 0.009918 
0.000416 0.008753 0.000178 0.005300 0.821683 
0.000148 0.006848 0.003426 0.627999 0.001653 
0.000056 0.633034 0.000263 0.000462 0.003482 
0.609440 0.074374 0.050401 0.001149 0.020763 
0.000623 0.015515 0.767434 0.017696 0.010902 
0.000148 0.015493 0.000921 0.643309 0.029674 
0.001272 0.004160 0.752020 0.014552 0.012608 
0.678605 0.031681 0.000970 0.010371 0.010247 
0.000077 0.000399 0.022445 0.000017 0.817445 
0.000016 0.701624 0.005514 0.004804 0.000907 
0.000591 0.620069 0.001916 0.000273 0.000734 
0.001364 0.002196 0.745536 0.002564 0.014639 
0.000148 0.030267 0.000511 0.639584 0.065638 
0.676590 0.013970 0.017087 0.017980 0.014744 
0.000077 0.003251 0.009007 0.010341 0.762971 
0.000031 0.021520 0.016594 0.628803 0.046288 
0.000893 0.634578 0.000079 0.009063 0.000069 
0.645472 0.037464 0.078257 0.002455 0.003009 
0.000077 0.000231 0.013425 0.001200 0.801938 
0.000486 0.000539 0.721783 0.013766 0.019053 
0.000893 0.660582 0.001024 0.001749 0.000397 
0.000041 0.006298 0.017493 0.640065 0.073100 
0.000094 0.000797 0.002749 0.003147 0.736769 
0.002665 0.004868 0.739948 0.008193 0.001725 
0.614754 0.055767 0.069229 0.009250 0.046625 
0.648601 0.040894 0.042160 0.009485 0.008794 
0.000041 0.000053 0.003348 0.612410 0.029279 
0.000094 0.002480 0.006841 0.005274 0.751291 
0.000905 0.628579 0.001066 0.000348 0.000545 
0.000676 0.010961 0.731575 0.000529 0.004569 
0.682524 0.006707 0.009489 0.000515 0.043569 
0.000280 0.002780 0.003842 0.026180 0.784484 
0.000978 0.714675 0.001714 0.001161 0.000534 
0.000123 0.034871 0.757875 0.020586 0.016622 
0.000041 0.002840 0.021663 0.618261 0.017869 
0.000399 0.000216 0.001648 0.008927 0.712567 
0.000004 0.652330 0.003366 0.004800 0.000017 
0.001486 0.006840 0.755711 0.008335 0.069780 
0.681567 0.011822 0.005808 0.005641 0.045748 
0.000117 0.028210 0.022806 0.592358 0.008220 
0.000139 0.003681 0.001853 0.001820 0.767151 
0.000117 0.031436 0.013401 0.619710 0.018577 
0.001008 0.003144 0.730619 0.000101 0.018360 
0.697107 0.082245 0.002130 0.002251 0.024073 
0.000004 0.657296 0.011670 0.004533 0.000161 
0.000790 0.001082 0.740659 0.013954 0.028018 
0.000199 0.601193 0.015913 0.001455 0.000437 
0.703942 0.050252 0.000569 0.017765 0.000956 
0.000142 0.000185 0.002377 0.002158 0.780842 
0.000010 0.086942 0.007665 0.616017 0.025979 
0.000913 0.002399 0.730053 0.007766 0.010116 
0.000039 0.003154 0.004687 0.005330 0.735862 
0.000963 0.684825 0.000253 0.000216 0.001613 
0.000103 0.044983 0.017851 0.643002 0.069081 
0.686593 0.053508 0.001137 0.013788 0.013792 
0.000191 0.002128 0.748524 0.012695 0.010457 
0.000103 0.020708 0.021033 0.611062 0.074987 
0.000039 0.004111 0.002496 0.005879 0.778096 
0.000695 0.636226 0.000735 0.001136 0.000230 
0.638603 0.032571 0.066402 0.002197 0.001566 
0.000238 0.640356 0.004229 0.001053 0.000525 
0.000086 0.003154 0.002648 0.012953 0.779435 
0.000560 0.010001 0.727759 0.000389 0.022162 
0.000103 0.002187 0.012169 0.640603 0.037586 
0.706954 0.097691 0.000574 0.017682 0.047992 
0.002317 0.049827 0.745624 0.011969 0.022216 
0.000477 0.712337 0.000262 0.000255 0.002571 
0.000103 0.006100 0.002732 0.628614 0.000113 
0.000086 0.003337 0.019148 0.005755 0.713439 
0.688910 0.047041 0.027521 0.002440 0.022551 
0.000033 0.000441 0.001930 0.000439 0.759554 
0.000037 0.682157 0.000746 0.001069 0.000204 
0.002145 0.005078 0.707191 0.016017 0.000242 
0.658397 0.053060 0.022470 0.015504 0.021847 
0.000488 0.022380 0.021626 0.638046 0.037997 
0.000488 0.025908 0.011448 0.626946 0.071562 
0.000033 0.001097 0.009490 0.000165 0.763066 
0.000319 0.004802 0.728843 0.003589 0.047813 
0.000037 0.597146 0.000194 0.001477 0.000239 
0.687085 0.045889 0.044674 0.038380 0.002778 
0.000037 0.635617 0.007134 0.002387 0.002118 
0.000488 0.024891 0.000465 0.625702 0.042292 
0.000033 0.000436 0.011497 0.021912 0.826591 
0.000298 0.005504 0.718232 0.000683 0.004384 
0.687487 0.003918 0.022049 0.008923 0.015209 
0.000037 0.744322 0.002386 0.016471 0.001095 
0.001115 0.000056 0.710695 0.000064 0.005883 
0.681144 0.024197 0.002480 0.001954 0.003779 
0.000488 0.022556 0.008865 0.591954 0.053273 
0.000147 0.001558 0.000102 0.003457 0.737429 
0.000037 0.699275 0.002371 0.002809 0.001095 
0.686836 0.096492 0.000215 0.011819 0.031969 
0.000872 0.018731 0.006772 0.635010 0.005735 
0.001378 0.013654 0.754653 0.000156 0.014087 
0.000008 0.000608 0.029741 0.001564 0.756481 
0.000162 0.029481 0.007004 0.613569 0.033275 
0.640344 0.088121 0.014914 0.016155 0.015112 
0.000134 0.007263 0.735178 0.002685 0.007348 
0.000008 0.000276 0.001857 0.004395 0.802981 
0.000792 0.711778 0.001932 0.002137 0.000704 
0.688503 0.054704 0.011891 0.001351 0.003864 
0.000066 0.000715 0.001327 0.026222 0.753763 
0.000916 0.638240 0.001596 0.000395 0.000264 
0.000134 0.006694 0.703412 0.010643 0.008798 
0.000269 0.045739 0.002768 0.634728 0.019760 
0.665202 0.046516 0.004134 0.006774 0.004890 
0.000365 0.014073 0.010373 0.637176 0.022038 
0.000338 0.664896 0.001107 0.000442 0.000975 
0.000134 0.032598 0.742616 0.050435 0.068095 
0.000069 0.003238 0.007553 0.002694 0.692655 
0.000185 0.661038 0.002963 0.002019 0.000862 
0.000290 0.007426 0.012921 0.636303 0.003070 
0.000901 0.023648 0.756586 0.000566 0.013139 
0.000069 0.000020 0.004669 0.008989 0.738985 
0.681039 0.069074 0.007422 0.005063 0.013598 
0.000249 0.004289 0.747645 0.000869 0.006276 
0.000232 0.034935 0.014297 0.611930 0.057339 
0.000069 0.000285 0.006254 0.010171 0.825108 
0.000734 0.632007 0.002846 0.000075 0.000324 
0.659660 0.018364 0.009895 0.010353 0.031939 
0.000443 0.004492 0.767772 0.013474 0.014867 
0.000084 0.002661 0.004796 0.003370 0.791948 
0.000094 0.006550 0.012668 0.612692 0.005388 
0.687201 0.042925 0.002741 0.014897 0.030588 
0.000567 0.718810 0.004075 0.000899 0.000439 
0.000630 0.599001 0.000985 0.000250 0.002836 
0.000084 0.003380 0.002579 0.004663 0.814598 
0.000279 0.013457 0.730271 0.012191 0.000373 
0.649966 0.072961 0.039619 0.007842 0.020594 
0.000329 0.002535 0.009637 0.609890 0.019953 
0.000164 0.622061 0.004068 0.001870 0.000094 
0.000710 0.030369 0.022204 0.636407 0.050826 
0.001549 0.010795 0.737297 0.010712 0.034857 
0.623003 0.001067 0.049298 0.001467 0.001494 
0.000004 0.001786 0.000125 0.006118 0.812195 
0.000164 0.646805 0.003994 0.001864 0.000668 
0.654794 0.000637 0.000962 0.008249 0.048812 
0.000034 0.001795 0.013317 0.010684 0.785405 
0.001193 0.011895 0.725394 0.000272 0.003494 
0.000342 0.000495 0.031793 0.639677 0.034427 
0.000093 0.024924 0.729933 0.001360 0.002903 
0.000342 0.017919 0.018565 0.628964 0.110298 
0.000080 0.003138 0.000602 0.001880 0.744368 
0.000256 0.733800 0.004099 0.004782 0.000668 
0.662977 0.000329 0.013283 0.000563 0.045647 
0.000093 0.004442 0.760037 0.015241 0.077938 
0.000598 0.603998 0.003498 0.000075 0.000865 
0.000657 0.013779 0.024521 0.633333 0.027709 
0.000153 0.002180 0.000683 0.000479 0.741285 
0.667100 0.015156 0.060059 0.011282 0.001304 
0.000093 0.001119 0.731160 0.018672 0.020908 
0.000377 0.036618 0.025332 0.632512 0.050028 
0.000078 0.002882 0.012145 0.008979 0.819378 
0.000598 0.604505 0.002219 0.000018 0.001104 
0.689574 0.084166 0.011722 0.003129 0.017322 
0.000078 0.000003 0.007583 0.001835 0.804038 
0.686399 0.066825 0.015546 0.013041 0.003276 
0.000169 0.665611 0.001270 0.000018 0.000446 
0.000546 0.000986 0.731545 0.012738 0.024190 
0.000396 0.015219 0.003973 0.605661 0.032967 
0.000638 0.691548 0.000419 0.000045 0.002807 
0.648666 0.052984 0.065158 0.018416 0.027677 
0.000252 0.048554 0.740189 0.005777 0.000934 
0.000078 0.003955 0.007913 0.000467 0.762251 
0.000319 0.002791 0.015435 0.636769 0.016643 
0.000059 0.004066 0.009135 0.000849 0.764827 
0.000638 0.687401 0.000452 0.011916 0.003220 
0.700379 0.102856 0.047487 0.018819 0.022766 
0.000141 0.015965 0.021238 0.614545 0.019039 
0.001021 0.002048 0.707195 0.000413 0.001666 
0.689477 0.021357 0.001287 0.014219 0.010847 
0.001891 0.727402 0.003270 0.005884 0.002516 
0.000059 0.001822 0.006468 0.001829 0.827595 
0.002942 0.000566 0.764294 0.000848 0.002160 
0.000060 0.002453 0.005992 0.631251 0.010064 
0.000059 0.002909 0.002271 0.006755 0.809151 
0.680188 0.001168 0.025352 0.018378 0.014516 
0.000922 0.644692 0.001329 0.000880 0.001378 
0.000050 0.027783 0.022530 0.622876 0.061679 
0.001782 0.014149 0.730004 0.018048 0.001531 
0.000124 0.001222 0.732369 0.010246 0.010301 
0.000059 0.000338 0.002560 0.011509 0.762254 
0.000922 0.642466 0.000304 0.000468 0.001017 
0.000811 0.033444 0.022119 0.617794 0.016630 
0.666349 0.044314 0.004949 0.006898 0.019772 
0.000906 0.065583 0.751610 0.009770 0.013973 
0.000922 0.647634 0.003772 0.000468 0.001017 
0.000077 0.001435 0.000386 0.007535 0.743141 
0.000136 0.004679 0.011397 0.629252 0.036437 
0.702485 0.064230 0.011385 0.021130 0.001064 
0.000136 0.030814 0.021264 0.626210 0.002134 
0.000686 0.002108 0.744542 0.023929 0.035820 
0.000529 0.713835 0.001303 0.000329 0.000702 
0.000077 0.000778 0.016918 0.007410 0.825670 
0.688352 0.034979 0.007328 0.011023 0.024879 
0.000077 0.001665 0.002251 0.003687 0.785590 
0.651594 0.012253 0.002811 0.011529 0.000422 
0.000271 0.602366 0.014272 0.001272 0.002238 
0.000417 0.047363 0.761734 0.016949 0.020523 
0.000013 0.020672 0.017325 0.639061 0.068925 
0.000538 0.597843 0.003479 0.000868 0.000752 
0.687480 0.005197 0.035254 0.015285 0.028045 
0.000077 0.001676 0.008077 0.002615 0.799620 
0.000013 0.043718 0.002375 0.628309 0.031022 
0.001657 0.001950 0.745805 0.017892 0.046500 
0.000488 0.008903 0.740409 0.018620 0.061174 
0.000077 0.002646 0.008256 0.002458 0.699031 
0.000365 0.630202 0.000930 0.000117 0.000752 
0.696147 0.044954 0.065330 0.003359 0.024344 
0.000058 0.000136 0.001657 0.629317 0.092927 
0.000058 0.008415 0.003682 0.609642 0.052961 
0.000034 0.000785 0.006110 0.011452 0.718005 
0.000853 0.032137 0.757090 0.062801 0.017549 
0.652134 0.084362 0.007172 0.000328 0.001855 
0.000572 0.651173 0.000653 0.003678 0.000377 
0.697319 0.073495 0.002081 0.007813 0.043520 
0.000111 0.003001 0.012752 0.643129 0.032164 
0.000853 0.001021 0.751310 0.000464 0.001492 
0.000034 0.002767 0.026708 0.014531 0.799117 
0.000014 0.672642 0.003263 0.001115 0.000693 
0.000111 0.004801 0.006719 0.639964 0.096747 
0.000034 0.001098 0.011675 0.001841 0.825913 
0.658589 0.024825 0.005991 0.010675 0.039481 
0.000670 0.723897 0.001940 0.006259 0.000376 
0.000364 0.004967 0.762588 0.005257 0.003234 
0.000111 0.009765 0.011233 0.611868 0.075576 
0.000338 0.050502 0.756612 0.015672 0.014735 
0.000644 0.723644 0.000343 0.004753 0.000355 
0.663911 0.060429 0.007744 0.000116 0.048310 
0.000034 0.000990 0.010820 0.036668 0.710212 
0.000388 0.000086 0.020813 0.001616 0.763270 
0.647025 0.006143 0.006329 0.008106 0.023009 
0.000073 0.726071 0.000503 0.005896 0.000860 
0.000989 0.001577 0.752276 0.020443 0.003440 
0.000111 0.021739 0.006284 0.633866 0.075960 
0.000388 0.001093 0.009389 0.000599 0.792183 
0.001029 0.001950 0.764632 0.058304 0.003438 
0.000111 0.038638 0.003736 0.639456 0.036875 
0.000073 0.711944 0.000807 0.002696 0.001938 
0.685898 0.063945 0.017179 0.017581 0.024527 
0.665050 0.056923 0.020360 0.006546 0.010640 
0.000073 0.578935 0.000716 0.000950 0.002678 
0.000388 0.001308 0.004158 0.008015 0.796440 
0.001043 0.000917 0.762600 0.010583 0.006693 
0.000111 0.002998 0.022297 0.636441 0.005029 
0.000073 0.634645 0.001957 0.000840 0.002690 
0.706106 0.060756 0.014407 0.003048 0.005806 
0.000951 0.004390 0.762016 0.019564 0.002206 
0.000166 0.003552 0.008533 0.017640 0.729972 
0.000125 0.003590 0.009172 0.630183 0.002167 
0.000073 0.672153 0.004919 0.001468 0.000865 
0.683068 0.066687 0.000567 0.021559 0.005534 
0.000346 0.001641 0.016984 0.003267 0.767160 
0.000138 0.003737 0.739454 0.000040 0.060007 
0.000512 0.037980 0.000607 0.600057 0.047861 
0.000512 0.001184 0.001560 0.639767 0.001572 
0.000073 0.700062 0.022784 0.000752 0.001636 
0.000343 0.003846 0.002915 0.010223 0.743746 
0.000139 0.008520 0.758990 0.001950 0.015550 
0.678025 0.060499 0.000727 0.005772 0.021753 
0.000110 0.003723 0.018519 0.613707 0.013739 
0.000172 0.002942 0.001757 0.004463 0.713058 
0.650923 0.060653 0.008073 0.013086 0.023534 
0.000520 0.624094 0.008764 0.000002 0.001827 
0.000057 0.000166 0.758483 0.024159 0.070798 
0.000110 0.001063 0.022344 0.631375 0.051456 
0.001932 0.019425 0.707320 0.015128 0.006879 
0.000140 0.636565 0.001979 0.001648 0.001588 
0.000275 0.003125 0.001463 0.003272 0.786854 
0.675855 0.020636 0.009498 0.004912 0.015617 
0.000140 0.705174 0.004853 0.001721 0.000493 
0.666799 0.039250 0.000628 0.013602 0.005771 
0.001001 0.002240 0.743122 0.021667 0.000488 
0.000330 0.000513 0.000621 0.001272 0.824892 
0.000110 0.031951 0.002270 0.625173 0.033598 
0.000076 0.620260 0.001213 0.001756 0.000894 
0.000431 0.012250 0.715130 0.005585 0.000435 
0.000110 0.034211 0.018880 0.639250 0.078573 
0.000245 0.000203 0.008324 0.003323 0.782295 
0.682852 0.096092 0.005832 0.003923 0.003672 
0.000062 0.035829 0.018263 0.614399 0.010019 
0.000309 0.001751 0.003393 0.012488 0.801290 
0.000191 0.005332 0.768127 0.014073 0.000213 
0.000059 0.722780 0.004454 0.002309 0.004269 
0.681944 0.021667 0.000385 0.000569 0.040960 
0.000532 0.000873 0.001760 0.010461 0.812978 
0.000427 0.027656 0.008546 0.623537 0.047156 
0.000014 0.002922 0.746846 0.003258 0.005547 
0.000039 0.704886 0.004202 0.000367 0.000666 
0.671963 0.077375 0.005239 0.007399 0.030244 
0.000427 0.046442 0.019376 0.626751 0.063343 
0.000168 0.711516 0.002907 0.000263 0.000456 
0.000014 0.000043 0.732842 0.018454 0.001297 
0.000193 0.000790 0.000380 0.001123 0.816929 
0.656117 0.091019 0.007678 0.015306 0.020444 
0.000168 0.631455 0.001820 0.000540 0.003590 
0.000014 0.044378 0.732140 0.016814 0.000763 
0.000268 0.002512 0.010922 0.008631 0.789307 
0.671870 0.007899 0.001931 0.005964 0.033573 
0.000950 0.008100 0.011017 0.587090 0.037568 
0.000014 0.009218 0.704736 0.001124 0.000533 
0.000126 0.591666 0.000598 0.008153 0.002276 
0.000504 0.001994 0.007661 0.003572 0.767235 
0.683613 0.084560 0.009095 0.014318 0.003819 
0.000154 0.000187 0.012190 0.641475 0.018982 
0.709468 0.064387 0.011432 0.002785 0.010331 
0.000014 0.004883 0.728376 0.024148 0.001704 
0.000644 0.687764 0.001775 0.002023 0.002665 
0.000383 0.002070 0.002124 0.011202 0.774957 
0.000154 0.026199 0.001612 0.640372 0.008636 
0.000078 0.002363 0.002144 0.000655 0.747402 
0.000021 0.001565 0.743999 0.019438 0.000971 
0.000284 0.012205 0.022725 0.628442 0.076399 
0.000437 0.665362 0.002255 0.000742 0.001639 
0.611913 0.078377 0.004163 0.014787 0.003391 
0.000963 0.010417 0.752535 0.020249 0.002167 
0.669543 0.060178 0.018826 0.004777 0.021253 
0.000429 0.647650 0.006068 0.000032 0.001807 
0.000078 0.001730 0.004817 0.007227 0.772203 
0.000145 0.003617 0.001180 0.625382 0.069041 
0.000017 0.001526 0.002031 0.616985 0.011349 
0.000532 0.634095 0.002390 0.015804 0.000800 
0.000260 0.000125 0.018403 0.018700 0.750720 
0.000132 0.023374 0.742811 0.000672 0.005372 
0.654405 0.093428 0.002946 0.000793 0.007721 
0.000063 0.619013 0.003766 0.000146 0.000800 
0.000436 0.003617 0.001347 0.023986 0.814405 
0.000132 0.002921 0.705575 0.014759 0.005074 
0.000222 0.002807 0.025853 0.638909 0.020583 
0.640647 0.039409 0.001802 0.000175 0.049026 
0.658395 0.047901 0.014785 0.008574 0.028815 
0.000115 0.001081 0.001022 0.006283 0.801517 
0.000063 0.684372 0.003836 0.000791 0.000903 
0.000374 0.041927 0.735867 0.016707 0.053651 
0.000395 0.005306 0.013395 0.637520 0.005130 
0.000484 0.008914 0.710576 0.000337 0.003216 
0.000115 0.001666 0.001942 0.005363 0.775901 
0.000502 0.001394 0.017275 0.612785 0.066215 
0.000063 0.615304 0.002005 0.001593 0.004337 
0.684064 0.020299 0.017098 0.006770 0.000856 
0.000063 0.679885 0.000837 0.000598 0.022968 
0.001081 0.000390 0.745636 0.011405 0.036365 
0.690991 0.002273 0.017322 0.017865 0.002885 
0.000502 0.022141 0.002943 0.610249 0.001627 
0.000115 0.009446 0.007013 0.006534 0.812295 
0.000076 0.679321 0.001112 0.000289 0.005847 
0.000181 0.005652 0.000715 0.028945 0.730902 
0.001730 0.002211 0.767875 0.000710 0.000947 
0.000308 0.001653 0.023968 0.618115 0.061173 
0.653989 0.081001 0.020128 0.006512 0.000290 
0.000305 0.018857 0.001219 0.638012 0.001145 
0.688308 0.029947 0.000317 0.016310 0.034428 
0.000097 0.600720 0.004570 0.001516 0.002794 
0.000181 0.002404 0.003641 0.011481 0.776307 
0.000011 0.004524 0.763599 0.000626 0.043389 
0.000469 0.001867 0.024089 0.614676 0.063416 
0.000011 0.000462 0.740706 0.025820 0.015553 
0.000383 0.006462 0.000763 0.000219 0.816667 
0.000097 0.660771 0.002611 0.005738 0.002289 
0.635688 0.053566 0.071129 0.012930 0.013138 
0.000348 0.009577 0.007840 0.016257 0.747611 
0.000097 0.713833 0.002505 0.001727 0.001265 
0.000011 0.043213 0.724834 0.001090 0.004949 
0.655930 0.003928 0.001779 0.014333 0.046959 
0.000469 0.004434 0.002893 0.625336 0.008409 
0.678647 0.069674 0.016137 0.003953 0.007021 
0.000127 0.008634 0.009874 0.639783 0.023620 
0.000279 0.001383 0.000531 0.020293 0.796093 
0.000370 0.643591 0.000097 0.001840 0.000498 
0.000011 0.009596 0.731368 0.001375 0.058290 
0.000279 0.000784 0.009617 0.001801 0.792627 
0.000260 0.654847 0.000200 0.001966 0.000694 
0.687650 0.094056 0.016033 0.037020 0.051365 
0.000011 0.006542 0.739842 0.014729 0.008847 
0.000396 0.031004 0.011147 0.589942 0.033235 
0.590231 0.079199 0.072242 0.015141 0.037529 
0.001091 0.703528 0.000744 0.002081 0.000761 
0.000534 0.010378 0.012376 0.633526 0.005621 
0.000011 0.003842 0.740379 0.002978 0.034342 
0.000143 0.002295 0.001842 0.000356 0.738482 
0.000011 0.001318 0.704027 0.016293 0.021423 
0.000154 0.010695 0.005703 0.001153 0.774373 
0.680194 0.043463 0.036625 0.012571 0.040257 
0.000819 0.645078 0.000339 0.002084 0.000521 
0.000534 0.007735 0.015537 0.638119 0.007219 
0.000011 0.014052 0.715027 0.023074 0.010550 
0.000331 0.006706 0.003200 0.623022 0.000692 
0.000300 0.714929 0.002613 0.007035 0.001481 
0.643935 0.026183 0.048378 0.000715 0.049039 
0.000095 0.000071 0.009305 0.002797 0.782759 
0.000071 0.689451 0.001317 0.001320 0.000713 
0.000331 0.013727 0.004602 0.642856 0.031591 
0.000095 0.004957 0.003450 0.028118 0.712469 
0.000725 0.001020 0.756090 0.002511 0.006265 
0.643703 0.031431 0.010965 0.000403 0.039657 
0.000095 0.000755 0.008060 0.016387 0.790696 
0.000725 0.006316 0.732987 0.014390 0.017523 
0.000548 0.740120 0.000087 0.001543 0.000385 
0.666233 0.020873 0.001432 0.000378 0.012977 
0.000327 0.036754 0.013508 0.606552 0.016955 
0.000265 0.010732 0.709599 0.001783 0.022754 
0.000327 0.001117 0.023723 0.620517 0.002171 
0.000320 0.688463 0.000841 0.006026 0.005360 
0.000095 0.006582 0.005499 0.003162 0.765060 
0.671406 0.029050 0.001779 0.010867 0.007429 
0.000678 0.663061 0.003236 0.000521 0.000306 
0.000025 0.020521 0.016092 0.634649 0.067186 
0.000238 0.001110 0.001457 0.011622 0.713758 
0.000145 0.003545 0.714855 0.001378 0.028001 
0.698483 0.079493 0.028679 0.021101 0.037191 
0.000238 0.001270 0.004793 0.008983 0.772664 
0.001072 0.587238 0.002705 0.001850 0.000618 
0.000025 0.032902 0.016132 0.643430 0.025326 
