n_e(s,d) n_t(s) n_r(s) n elt_1 elt_2
4.727273 1.000000 0.000000 6 3 5
4.363636 2.000000 0.000000 6 4 5
4.104478 1.000000 0.000000 5 1 2
4.477612 1.000000 0.000000 5 1 3
3.358209 2.000000 0.000000 5 1 4
3.358209 1.000000 0.000000 5 1 5
4.727273 1.000000 0.000000 5 2 3
1.818182 2.000000 0.000000 5 2 4
1.818182 0.000000 0.000000 5 2 5
4.363636 2.000000 0.000000 5 3 4
4.727273 3.000000 0.000000 5 3 5
1.090909 1.000000 0.000000 5 4 5
4.104478 3.000000 0.000000 5 1 2
1.119403 2.000000 0.000000 5 1 3
0.373134 1.000000 0.000000 5 1 4
4.104478 1.000000 0.000000 5 1 5
4.363636 1.000000 0.000000 5 2 3
4.363636 1.000000 0.000000 5 2 4
4.363636 2.000000 0.000000 5 2 5
0.727273 2.000000 0.000000 5 3 4
4.000000 2.000000 0.000000 5 3 5
4.363636 2.000000 0.000000 5 4 5
4.850746 2.000000 0.000000 5 1 2
0.373134 2.000000 0.000000 5 1 3
1.492537 2.000000 0.000000 5 1 4
1.865672 2.000000 0.000000 5 1 5
3.272727 3.000000 0.000000 5 2 3
3.636364 2.000000 0.000000 5 2 4
3.636364 2.000000 0.000000 5 2 5
1.818182 2.000000 0.000000 5 3 4
2.545455 2.000000 0.000000 5 3 5
3.272727 1.000000 0.000000 5 4 5
3.731343 2.000000 0.000000 5 1 2
2.238806 1.000000 0.000000 5 1 3
2.985075 2.000000 0.000000 5 1 4
3.358209 3.000000 0.000000 5 1 5
2.545455 1.000000 0.000000 5 2 3
1.818182 0.000000 0.000000 5 2 4
3.272727 1.000000 0.000000 5 2 5
3.272727 1.000000 0.000000 5 3 4
2.909091 2.000000 0.000000 5 3 5
2.909091 0.000000 0.000000 5 4 5
2.238806 2.000000 0.000000 5 1 2
1.119403 0.000000 0.000000 5 1 3
2.238806 1.000000 0.000000 5 1 4
2.238806 2.000000 0.000000 5 1 5
4.363636 0.000000 0.000000 5 2 3
3.272727 1.000000 0.000000 5 2 4
2.545455 1.000000 0.000000 5 2 5
0.727273 1.000000 0.000000 5 3 4
2.181818 2.000000 0.000000 5 3 5
4.727273 2.000000 0.000000 5 4 5
4.104478 4.000000 0.000000 5 1 2
2.611940 1.000000 0.000000 5 1 3
3.358209 2.000000 0.000000 5 1 4
